PROVNUM,PROVNAME,ADDRESS,CITY,STATE,ZIP,PHONE,COUNTY_SSA,COUNTY_NAME,BEDCERT,RESTOT,INHOSP,CCRC_FACIL,SFF,CHOW_LAST_12MOS,SPRINKLER_STATUS,EXP_TOTAL,ADJ_TOTAL,OWNERSHIP,CERTIFICATION,CYCLE_1_DEFS,CYCLE_1_NFROMDEFS,CYCLE_1_NFROMCOMP,CYCLE_1_DEFS_SCORE,CYCLE_1_NUMREVIS,CYCLE_1_REVISIT_SCORE,CYCLE_1_TOTAL_SCORE,CYCLE_1_SURVEY_DATE,CYCLE_2_SURVEY_DATE,FINE_CNT,FINE_TOT,CYCLE_2_TOTAL_SCORE
015114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,2053849086,630,Walker,107,97.7,False,False,False,False,True,3.05173,3.60186,For profit - Corporation,Medicare and Medicaid,1,1,0,16,1,0,16,2017-05-11,2016-05-05,0,0,4
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,2054839282,630,Walker,114,107.0,False,False,False,False,True,2.97938,4.51136,For profit - Corporation,Medicare and Medicaid,6,6,0,36,1,0,36,2017-08-10,2016-07-28,1,11029,28
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,2568815000,440,Madison,159,130.3,False,False,False,False,True,3.26348,3.49671,For profit - Corporation,Medicare and Medicaid,7,6,1,32,1,0,32,2017-07-20,2016-05-19,0,0,52
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204,2057872619,360,Jefferson,100,96.8,False,False,False,False,True,2.94307,3.65346,For profit - Corporation,Medicare and Medicaid,1,1,0,16,1,0,16,2017-02-27,2016-02-04,0,0,36
015119,BLUE RIDGE HEALTHCARE SELMA,11 BELL ROAD,SELMA,AL,36701,3348747425,230,Dallas,172,130.3,False,False,False,True,True,3.03498,3.67034,For profit - Corporation,Medicare and Medicaid,2,2,1,8,1,0,8,2017-07-27,2016-08-19,1,84972,352
015120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,2568315730,70,Calhoun,151,139.8,False,False,False,False,True,3.34153,3.75374,For profit - Corporation,Medicare and Medicaid,1,1,0,16,1,0,16,2017-09-14,2016-08-25,0,0,36
015121,CROWNE HEALTH CARE OF CITRONELLE,19225 NORTH 4TH STREET,CITRONELLE,AL,36522,2518665509,480,Mobile,69,68.2,False,False,False,False,True,3.07246,3.58468,For profit - Corporation,Medicare and Medicaid,3,3,0,16,1,0,16,2017-01-05,2015-11-06,0,0,108
015123,WASHINGTON COUNTY NURSING HOME,14600 ST STEPHENS AVENUE,CHATOM,AL,36518,2518476412,640,Washington,88,74.0,True,False,False,False,True,2.74778,5.25054,Government - County,Medicare and Medicaid,8,8,5,258,1,0,258,2016-12-30,2016-02-18,1,100000,12
015124,CLAY COUNTY NURSING HOME,83825 HIGHWAY 9   P O BOX 1270,ASHLAND,AL,36251,2563542131,130,Clay,83,51.2,True,False,False,False,True,2.73224,6.10527,Non profit - Other,Medicare and Medicaid,4,4,0,20,1,0,20,2017-05-11,2016-07-07,0,0,20
015126,TRAYLOR RETIREMENT COMMUNITY,1235 YANCEY STREET  P O BOX 467,ROANOKE,AL,36274,3348633500,550,Randolph,123,94.3,False,False,False,False,True,3.01811,5.55844,For profit - Corporation,Medicare and Medicaid,5,5,0,32,1,0,32,2017-07-13,2016-07-14,0,0,20
015127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,2568371730,440,Madison,129,116.7,False,False,False,False,True,3.04208,3.14062,For profit - Corporation,Medicare and Medicaid,9,9,0,32,1,0,32,2017-03-17,2016-03-03,0,0,8
015128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,2569741146,390,Lawrence,136,116.2,False,False,False,False,True,3.17225,3.77042,For profit - Partnership,Medicare and Medicaid,5,5,0,32,1,0,32,2017-09-14,2016-08-25,0,0,12
015129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,2513689121,260,Escambia,100,80.7,False,False,False,False,True,2.95613,4.72312,For profit - Corporation,Medicare and Medicaid,4,2,2,133,1,0,133,2017-02-09,2016-01-28,1,19713,12
015132,DIVERSICARE OF OXFORD,1130 SOUTH HALE STREET,OXFORD,AL,36203,2568310481,70,Calhoun,173,142.7,False,False,False,False,True,2.91881,3.37325,For profit - Corporation,Medicare and Medicaid,12,12,0,44,1,0,44,2017-09-15,2016-08-11,0,0,32
015133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,2056318709,360,Jefferson,148,124.1,False,False,False,False,True,3.27181,3.44121,For profit - Corporation,Medicare and Medicaid,11,11,0,80,1,0,80,2017-02-16,2016-01-07,1,9168,8
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,2058541361,360,Jefferson,132,119.9,False,False,False,False,True,3.14924,2.75758,For profit - Partnership,Medicare and Medicaid,10,7,3,64,1,0,64,2017-03-23,2016-02-24,0,0,52
015135,JOHN KNOX MANOR INC  I I,4401 NARROW LANE ROAD,MONTGOMERY,AL,36116,3342816336,500,Montgomery,98,61.1,False,False,False,False,True,3.14636,5.12926,For profit - Corporation,Medicare and Medicaid,4,4,0,24,1,0,24,2016-11-18,2015-11-05,1,5363,0
015137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,2053736307,530,Pickens,100,79.4,False,False,False,False,True,2.80184,4.55194,For profit - Corporation,Medicare and Medicaid,1,1,0,4,1,0,4,2017-07-13,2016-07-28,0,0,8
015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,2054892136,660,Winston,110,99.6,False,False,False,False,True,3.35979,3.62829,For profit - Individual,Medicare and Medicaid,1,1,0,16,1,0,16,2017-08-24,2016-08-18,0,0,44
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",2639 GILMER AVENUE  P O BOX 780277,TALLASSEE,AL,36078,3342833975,250,Elmore,111,95.7,False,False,False,False,True,2.6376,4.6056,For profit - Corporation,Medicare and Medicaid,3,3,0,40,1,0,40,2016-10-06,2015-11-19,0,0,24
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,2563962104,130,Clay,101,96.5,False,False,False,False,True,3.1431,3.95156,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-08-17,2016-07-28,0,0,0
015143,FOREST MANOR INC,2215 32ND STREET,NORTHPORT,AL,35476,2053395400,620,Tuscaloosa,182,160.7,False,False,False,False,True,3.10839,5.36841,For profit - Corporation,Medicare and Medicaid,12,11,1,64,1,0,64,2017-08-17,2016-07-21,0,0,32
015144,"CHANDLER HEALTH & REHAB CENTER, LLC",850 NORTHWEST NINTH STREET,ALABASTER,AL,35007,2056633859,580,Shelby,198,141.5,False,False,False,False,True,2.92798,4.51556,For profit - Corporation,Medicare and Medicaid,15,8,9,448,2,224,672,2017-10-19,2017-03-16,2,197504,375
015145,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,2059870901,360,Jefferson,132,118.2,False,False,False,False,True,3.00942,3.47072,For profit - Corporation,Medicare and Medicaid,3,3,0,8,1,0,8,2016-11-02,2015-12-31,0,0,8
015147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,2567668963,380,Lauderdale,125,119.5,False,False,False,False,True,3.17311,3.46546,For profit - Corporation,Medicare and Medicaid,8,8,0,80,1,0,80,2016-10-20,2015-11-19,0,0,36
015148,DIVERSICARE OF ARAB,235 THIRD STREET SE,ARAB,AL,35016,2565863111,470,Marshall,87,78.2,False,False,False,False,True,3.04661,3.38791,For profit - Corporation,Medicare and Medicaid,2,2,0,8,1,0,8,2017-01-19,2015-12-16,0,0,12
015149,SUNSET MANOR,251 SUNSET PLACE,GUIN,AL,35563,2054683331,460,Marion,71,68.2,False,False,False,False,True,,,For profit - Corporation,Medicare and Medicaid,3,3,0,12,1,0,12,2017-06-29,2016-08-18,0,0,16
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,1200 MAPLE AVENUE WEST,GENEVA,AL,36340,3346843655,300,Geneva,96,80.1,True,False,False,False,True,,,Government - County,Medicare and Medicaid,3,3,0,24,1,0,24,2017-01-19,2015-12-09,0,0,28
015151,AZALEA GARDENS OF MOBILE,1758 SPRINGHILL AVE,MOBILE,AL,36607,2514790551,480,Mobile,170,98.6,False,False,False,False,True,2.83037,4.82642,For profit - Corporation,Medicare and Medicaid,2,2,0,8,1,0,8,2017-06-08,2016-05-19,0,0,48
015152,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,3347931177,340,Houston,170,159.4,False,False,False,False,True,2.95147,5.17109,For profit - Corporation,Medicare and Medicaid,3,3,0,32,1,0,32,2017-08-10,2016-09-01,0,0,16
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,2057886330,360,Jefferson,117,108.2,False,False,False,False,True,3.63225,3.50022,For profit - Corporation,Medicare and Medicaid,4,2,2,24,1,0,24,2017-02-02,2015-11-19,1,2812,24
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,2059325966,280,Fayette,122,114.4,True,False,False,False,True,2.95857,4.12839,Government - County,Medicare and Medicaid,1,1,0,16,1,0,16,2017-03-02,2016-02-11,0,0,24
015155,"RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE",JASPER,AL,35504,2052219111,630,Walker,148,139.0,False,False,False,False,True,2.91664,4.64858,For profit - Corporation,Medicare and Medicaid,0,0,0,0,0,0,0,2017-07-27,2016-06-30,0,0,28
015156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,2568455990,240,De Kalb,123,104.4,False,False,False,False,True,3.15072,4.25868,For profit - Corporation,Medicare and Medicaid,2,2,0,16,1,0,16,2017-08-24,2016-09-14,0,0,12
015157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,2054869478,660,Winston,97,71.1,False,False,False,False,True,3.04609,5.1716,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-02-09,2016-01-14,0,0,60
015158,PERRY COUNTY NURSING HOME,505 EAST LAFAYETTE STREET,MARION,AL,36756,3346839696,520,Perry,71,55.1,False,False,False,False,True,3.0698,4.21437,Non profit - Other,Medicare and Medicaid,1,1,0,4,1,0,4,2017-01-26,2015-12-17,0,0,8
015160,SYLACAUGA HEALTH AND REHAB SERVICES,1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150,2562457402,600,Talladega,149,142.1,False,True,False,False,True,3.01963,3.73079,Non profit - Other,Medicare and Medicaid,1,1,0,16,1,0,16,2017-04-13,2016-03-24,0,0,12
015162,"TALLADEGA HEALTHCARE CENTER, INC",616 CHAFFEE STREET,TALLADEGA,AL,35160,2563624197,600,Talladega,234,197.8,False,False,False,False,True,3.02848,4.95535,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-04-13,2016-08-04,0,0,44
015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,2568781398,470,Marshall,159,153.4,False,False,False,False,True,3.24064,4.82015,For profit - Corporation,Medicare and Medicaid,6,6,0,24,1,0,24,2017-09-21,2016-09-15,1,4100,24
015164,BLUE RIDGE HEALTHCARE WILLOW TRACE,1406 EAST PUSHMATAHA STREET,BUTLER,AL,36904,2054595506,110,Choctaw,120,86.9,False,False,False,True,True,2.93479,3.60854,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-01-05,2015-12-03,0,0,20
015166,DADEVILLE HEALTHCARE CENTER,351 NORTH EAST STREET,DADEVILLE,AL,36853,2568259244,610,Tallapoosa,144,84.5,False,False,False,False,True,2.93789,4.95716,For profit - Corporation,Medicare and Medicaid,4,4,4,16,1,0,16,2016-10-06,2015-10-14,1,183105,498
015167,MARION REGIONAL NURSING HOME,184 SASSER DRIVE,HAMILTON,AL,35570,2059216340,460,Marion,79,71.0,True,False,False,False,True,2.83061,4.31245,Non profit - Corporation,Medicare and Medicaid,7,5,2,48,1,0,48,2017-06-29,2016-08-04,0,0,20
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,1655 MCGILL AVENUE,MOBILE,AL,36604,2514766335,480,Mobile,75,71.4,False,False,False,False,True,2.80243,4.91408,Non profit - Other,Medicare and Medicaid,0,0,0,0,0,0,0,2016-11-10,2015-12-03,0,0,8
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",2107 CLOYD BLVD,FLORENCE,AL,35630,2567665771,380,Lauderdale,147,135.8,False,False,False,False,True,3.17471,3.31223,For profit - Partnership,Medicare and Medicaid,3,3,0,36,1,0,36,2016-10-20,2016-01-14,0,0,12
015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089,3347385590,50,Bullock,123,105.8,False,False,False,False,True,3.16037,4.42621,For profit - Corporation,Medicare and Medicaid,3,3,0,8,1,0,8,2017-04-05,2016-03-17,0,0,48
015174,COOSA VALLEY HEALTH AND REHAB,513 PINEVIEW AVENUE,GLENCOE,AL,35905,2564925350,270,Etowah,124,88.6,False,False,False,False,True,3.22695,3.66015,For profit - Corporation,Medicare and Medicaid,3,3,0,28,1,0,28,2017-06-15,2016-08-04,0,0,36
015175,WESLEY PLACE ON HONEYSUCKLE,718 HONEYSUCKLE ROAD,DOTHAN,AL,36305,3347920921,340,Houston,166,158.9,False,False,False,False,True,2.6997,4.96387,Non profit - Corporation,Medicare and Medicaid,11,11,11,52,1,0,52,2017-07-27,2016-09-01,0,0,48
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,2565287844,240,De Kalb,143,133.2,False,False,False,False,True,3.28564,3.39107,For profit - Corporation,Medicare and Medicaid,5,5,0,36,1,0,36,2017-09-21,2016-09-22,0,0,24
015177,WOODHAVEN MANOR NURSING HOME,105 WEST WINDSOR ST,DEMOPOLIS,AL,36732,3342892741,450,Marengo,75,70.0,False,False,False,False,True,3.07385,4.63435,For profit - Corporation,Medicare and Medicaid,0,0,0,0,0,0,0,2017-07-13,2016-07-14,0,0,0
